end_time, 2019/09/04 01:26:50.6423, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1780039459, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.95703, running_ave_reward, 0, 
end_time, 2019/09/04 01:55:05.7281, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1448768027, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 1181, runtime, 99.9375, running_ave_reward, 0.01151566, 
end_time, 2019/09/04 02:58:30.7699, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 221442450, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
end_time, 2019/09/04 03:19:38.1614, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 868795017, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
end_time, 2019/09/04 03:59:48.6010, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1549574869, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
end_time, 2019/09/04 04:18:42.6674, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 893309114, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 1974, runtime, 99.91797, running_ave_reward, 0.0005065865, 
end_time, 2019/09/04 05:25:21.3784, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 911612383, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 1305, runtime, 99.98047, running_ave_reward, 0.00919541, 
end_time, 2019/09/04 05:34:07.6112, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 740894257, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.95703, running_ave_reward, 0, 
end_time, 2019/09/04 06:33:54.8258, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1285363013, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.95703, running_ave_reward, 0, 
end_time, 2019/09/04 06:39:53.1809, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1269238045, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.95703, running_ave_reward, 0, 
end_time, 2019/09/04 07:10:39.1414, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 898895144, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.91797, running_ave_reward, 0, 
end_time, 2019/09/04 07:45:29.4339, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1337605371, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 1303, runtime, 99.98047, running_ave_reward, 0.01304681, 
end_time, 2019/09/04 07:59:56.6802, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1121637249, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
end_time, 2019/09/04 08:09:35.9296, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1602746950, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
end_time, 2019/09/04 08:40:51.2416, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1968342241, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
